date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
12/17/2020,HI,B,280,,2,,1648,1648,53,277,,14,295153,0,,,,,7,20095,19731,141,0,,,,,19647,11958,753607,5698,753607,5698,,,,,308090,0,,0
12/16/2020,HI,B,278,,4,,1371,1371,60,7,,19,295153,0,,,,,18,19954,19590,110,0,,,,,19519,11958,747909,3662,747909,3662,,,,,308090,0,,0
12/15/2020,HI,B,274,,0,,1364,1364,57,7,,17,295153,0,,,,,14,19844,19480,56,0,,,,,19423,11958,744247,3206,744247,3206,,,,,308090,0,,0
12/14/2020,HI,B,274,,0,,1357,1357,58,0,,21,295153,0,,,,,17,19788,19424,189,0,,,,,19348,11958,741041,4972,741041,4972,,,,,308090,0,,0
12/13/2020,HI,B,274,,3,,1357,1357,58,0,,21,295153,0,,,,,17,19599,19235,87,0,,,,,19171,11958,736069,4851,736069,4851,,,,,308090,0,,0
12/12/2020,HI,B,271,,2,,1357,1357,58,3,,21,295153,0,,,,,17,19512,19148,197,0,,,,,19079,11958,731218,4782,731218,4782,,,,,308090,0,,0
12/11/2020,HI,B,269,,1,,1354,1354,48,10,,19,295153,0,,,,,14,19315,18951,136,0,,,,,18904,11958,726436,4781,726436,4781,,,,,308090,0,,0
12/10/2020,HI,B,268,,2,,1344,1344,51,11,,18,295153,0,,,,,14,19179,18864,123,0,,,,,18825,11958,721655,6987,721655,6987,,,,,308090,0,,0
12/9/2020,HI,B,266,,4,,1333,1333,47,6,,16,295153,0,,,,,11,19056,18741,80,0,,,,,18687,11958,714668,3852,714668,3852,,,,,308090,0,,0
12/8/2020,HI,B,262,,0,,1327,1327,46,2,,17,295153,0,,,,,12,18976,18661,53,0,,,,,18616,11958,710816,2650,710816,2650,,,,,308090,0,,0
12/7/2020,HI,B,262,,0,,1325,1325,57,0,,14,295153,0,,,,,17,18923,18608,81,0,,,,,18567,11958,708166,6390,708166,6390,,,,,308090,0,,0
12/6/2020,HI,B,262,,1,,1325,1325,57,0,,14,295153,0,,,,,17,18842,18527,104,0,,,,,18493,11958,701776,6599,701776,6599,,,,,308090,0,,0
12/5/2020,HI,B,261,,5,,1325,1325,57,10,,14,295153,0,,,,,17,18738,18423,133,0,,,,,18386,11958,695177,8421,695177,8421,,,,,308090,0,,0
12/4/2020,HI,B,256,,10,,1315,1315,51,11,,14,295153,0,,,,,12,18605,18290,121,0,,,,,18217,11958,686756,3021,686756,3021,,,,,308090,0,,0
12/3/2020,HI,B,246,,2,,1304,1304,57,13,,20,295153,0,,,,,15,18484,18186,142,0,,,,,18179,11958,683735,6290,683735,6290,,,,,308090,0,,0
12/2/2020,HI,B,244,,0,,1291,1291,54,3,,19,295153,0,,,,,15,18342,18044,76,0,,,,,18036,11958,677445,4281,677445,4281,,,,,308090,0,,0
12/1/2020,HI,B,244,,0,,1288,1288,56,1,,24,295153,0,,,,,7,18266,17968,43,0,,,,,17931,11958,673164,3402,673164,3402,,,,,308090,0,,0
11/30/2020,HI,B,244,,0,,1287,1287,60,0,,17,295153,0,,,,,14,18223,17925,85,0,,,,,17890,11958,669762,4525,669762,4525,,,,,308090,0,,0
11/29/2020,HI,B,244,,4,,1287,1287,60,0,,17,295153,0,,,,,14,18138,17840,56,0,,,,,17802,11958,665237,5517,665237,5517,,,,,308090,0,,0
11/28/2020,HI,B,240,,0,,1287,1287,60,18,,17,295153,0,,,,,14,18082,17784,76,0,,,,,17744,11958,659720,4157,659720,4157,,,,,308090,0,,0
11/27/2020,HI,B,240,,3,,1269,1269,60,0,,17,295153,0,,,,,12,18006,17708,125,0,,,,,17670,11958,655563,5663,655563,5663,,,,,308090,0,,0
